Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
0x3786024a3a2a31cfe834790ca4862137f28de20a16a4824a9ef82bd9c9c78d3a,Success,Transfer,51140899,2025/6/9 7:49,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0x014043Bc17Fd973D65f989694402A4cBc89AC65c,,0.01577533 BNB,$10.06 ,0.0000756
0x2c6f2576f394fd703b36f742e6d8f3979c7339ce1e1c0dfac7b9af4b668f81cd,Success,Transfer,51140815,2025/6/9 7:47,0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115,OKX 175,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0.01585093 BNB,$10.11 ,0.0000315
0x0ba53319d06a2f5a48c2952c1a9f715c24ed757ee904d46c603ea4182ffe17c0,Success,Transfer,50972985,2025/6/6 9:51,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0x014043Bc17Fd973D65f989694402A4cBc89AC65c,,0.01680872 BNB,$10.72 ,0.0000756
0x2bc3e62d1fbc492a02ce387e24f40806fc3600b0aba486ba09ec689946b3bbdc,Success,Transfer,50972902,2025/6/6 9:49,0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115,OKX 175,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0.01688432 BNB,$10.76 ,0.0000315
0xd83a0e9fcf2f25761e8a917d773ec11b9659e5321a4c84b4055df0e6db077128,Success,Transfer,50749036,2025/6/2 12:30,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0x014043Bc17Fd973D65f989694402A4cBc89AC65c,,0.01594716 BNB,$10.17 ,0.0000756
0x2ceb26a84f41c611761ba363a7819250ccb5ae2cca3ddc2c4829aa09b3db5b4f,Success,Transfer,50748955,2025/6/2 12:28,0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115,OKX 175,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0.01602276 BNB,$10.22 ,0.0000315
0xcc40a119424f8cdec5e95cafcb6a2cb06412520168e191e54d070205703b78d4,Success,Transfer,50391032,2025/5/27 7:15,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0x014043Bc17Fd973D65f989694402A4cBc89AC65c,,0.0160121 BNB,$10.21 ,0.0000756
0x735202764d8794cfcae01f466a1e8f85efc57154f0ff58d74d038fd3c7359d4d,Success,Transfer,50390950,2025/5/27 7:13,0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115,OKX 175,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0.0160877 BNB,$10.26 ,0.0000315
0x77f5113ddbfa8f396fc627c9707b5e4b2e73c01e8a19f471ba97ff0a44eee6dd,Success,Transfer,50339304,2025/5/26 9:41,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0x014043Bc17Fd973D65f989694402A4cBc89AC65c,,0.02650196 BNB,$16.90 ,0.0000756
0xdab3974f51ddcac730f39cc657d9088e70dc0340cadeab1581336a2bf18fad6f,Success,Transfer,50339221,2025/5/26 9:39,0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115,OKX 175,0x1b70D2463093d03EFb09dE49F5aC0465B5422620,,0.02657756 BNB,$16.94 ,0.0000315
