Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x0511584ea95c05f40bef58b61b00b7373a5b7a87b75621d94c69592fcfdcc305","Success","Batch Claim Token","64102547","2025-10-10 06:05:52","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xfd1b699ebaf7fa6fd372079976cc85f2bb1f00fba5da220025d8311a4ea9a166","Success","Batch Claim Token","64102462","2025-10-10 06:04:48","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x1c65bbc17575d55b7669cefc8c73055e802ad50e98a14f1c1c89015933a30937","Success","Batch Claim Token","60206629","2025-09-06 10:11:24","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xb871048d721bc0d979501d446821d14a2de23c9692f8e9a2ec90fd8ce58672dc","Success","Batch Claim Token","53150642","2025-07-07 03:59:58","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x64c40a0d630204f12c0f45a2cbe1cca8238254cc102418a0adc5b5a082b98f78","Success","Batch Claim Token","51256806","2025-06-11 08:08:18","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001741"
"0x5883af670cfb159d4a9c888344679c47cb208aba3b87b7d06eabd8d9b1956249","Success","Transfer","49955630","2025-05-19 17:47:05","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00004684"
"0xe54fb43a45312461ffad51dc1886681aa6d88ddc354cd16158d3e543246ee0c0","Success","Batch Claim Token","49234767","2025-05-07 05:20:33","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.0001742"
"0x8d2f86ba0d251099d37818ec38675ccde057d2e39a038944078c6bb07ccfba16","Success","Transfer","48770076","2025-04-29 02:09:51","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0.0035 BNB","$2.24","0.00003465"
"0x04df8249667a100a45640d308c8586058f5e3807917a0b3c750f0953f8d91e98","Success","Transfer","48745522","2025-04-28 05:42:07","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0.0078 BNB","$4.99","0.0000756"
"0xe842a06df2f5938696dbdeb9efa042e50d62918113014901335a5faaf8c17a69","Success","Transfer","48487701","2025-04-19 06:48:11","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x3A1719688c175456b3e350f7C32EE24B1AaB770f","","0.01 BNB","$6.40","0.0000315"
