Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x5fbdaa15f36a926b6253a79a9454e6aa0e31b74c679626bdc0497c7b0c000582","Success","Swap","68406090","2025-11-16 15:07:49","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0x07964f135f276412b3182a3B2407b8dd45000000","Transit Finance: Transit Swap Router V5","0.40313724 BNB","$257.84","0.00001282"
"0x35bf44cabb2936da1d0df93ab06f2cf4a4bd0a5a789f071f634ce4bc34c3a44d","Success","Transfer","67762749","2025-11-11 01:04:27","0xBD612a3f30dcA67bF60a39Fd0D35e39B7aB80774","Binance: Hot Wallet 13","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0.40268775 BNB","$257.55","0.0000021"
"0xda43267c216bc32dc9ae8c21a63fb771ae55e57e64f8b8e60e33444d5ec1ea7a","Success","Transfer","64181838","2025-10-10 22:37:11","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0xBD576D184f5843881e471f9292036a076CB532b0","","0 BNB","$0.00","0.00000385"
"0xbcc6c089415faff1a47a2dcf8a7bc1000c7b3e496e6aeff382efa8f38c25f6fe","Success","Swap","58442759","2025-08-22 02:37:28","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0x00000047bB99ea4D791bb749D970DE71EE0b1A34","Transit Finance: Router v5","0 BNB","$0.00","0.0000444"
"0xc9090573fc65199df473c41ff52c84c22310f5cff666b847fb46c7c0a3001051","Success","Swap","50350546","2025-05-26 14:22:57","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0x00000047bB99ea4D791bb749D970DE71EE0b1A34","Transit Finance: Router v5","0 BNB","$0.00","0.00004945"
"0x62eef00021f404ec2cd26250fc071fb75fe7ed9acaa9388d7f029c20910e4ccb","Success","Approve","50350469","2025-05-26 14:21:01","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0xBD576D184f5843881e471f9292036a076CB532b0","","0 BNB","$0.00","0.0000094"
"0x2576a39aaf8ef1e135ff804956aa8ebcc60d661b6bd80db75b22307d120a2847","Success","Swap","48549224","2025-04-21 10:04:43","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0x00000047bB99ea4D791bb749D970DE71EE0b1A34","Transit Finance: Router v5","0.11407712 BNB","$72.96","0.00039338"
"0xb7565a824ea38e882ae7390f779c1de3075e3f1c306f7a16153675fceace1d19","Success","Transfer","48549177","2025-04-21 10:02:22","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0.1138838 BNB","$72.84","0.0000315"
"0xd64940925107bba17a7fddf616710775d296f25504292f0ccc2a2e07e9743803","Success","Swap","48487883","2025-04-19 06:57:17","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0x00000047bB99ea4D791bb749D970DE71EE0b1A34","Transit Finance: Router v5","0.0133798 BNB","$8.56","0.00040667"
"0x1a170a2b3b1f0b104e2f3259e64891f8d419ef4a1614ad8fcbacc5e1d898d825","Success","Transfer","48487790","2025-04-19 06:52:38","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x8388E08CF351E49Cd42367139095A87f4C59493d","","0.0149798 BNB","$9.58","0.0000315"
