Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xc8164df46250991043ca8b6efc3f734400ae0137d640150860045e3746d111c2","Success","Transfer","73567903","2025-12-31 10:49:12","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0xA04D3D38Be4DD7AC89692c940C88b7a9A0aCFD87","","0.0196977 BNB","$12.59","0.00000111"
"0x314d2e4313ad807ee97f5f399ad9ac69f411e03ac93c12eebaac52eaf1c1669a","Success","Transfer","73567886","2025-12-31 10:49:00","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00000248"
"0x39b0e89c2ff501f3afc10dc9f2a24fe29bedfdae6b068ce071ea642f37bf940c","Success","Batch Claim Token","64101893","2025-10-10 05:57:42","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x37a8eb23ed2fdfd0655bade8ce59ba32da602a4e11c951a67938d37bcfca1e52","Success","Batch Claim Token","64101872","2025-10-10 05:57:26","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x7e34b342f2bb23dc391838d340b2dae211c801d290dd34d9001ff4956adddc35","Success","Batch Claim Token","60206644","2025-09-06 10:11:36","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xcf406ff6daa4bb07e03dcc0f1d5f96c16d1974db99260aadf4462f1754efdb80","Success","Batch Claim Token","53150644","2025-07-07 03:59:59","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x34a07199794f0abfe919e48b8853f38a280fe7bb4c6166dab0dfcbda5a85989d","Success","Batch Claim Token","51205181","2025-06-10 10:37:33","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.0001742"
"0x8f0789c025f2957cb6c209f4286543e1e0ed7ef1a9785d35eb752b9a462170bf","Success","Transfer","49956069","2025-05-19 17:58:04","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00000571"
"0x48870ad7bc9a1c61846c8860b63e5e024287600fd3fba512331e1e2a3663fa5f","Success","Batch Claim Token","49234708","2025-05-07 05:19:04","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.0001742"
"0xf2bf8198214bf4382348d16340588a129713e96ea1be8057ffe17002d4cd0887","Success","Transfer","48770070","2025-04-29 02:09:33","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0.0045 BNB","$2.88","0.00003181"
"0x4c1e78ad80f64024dea50ab83c91998450511f54388f1496e753dfbbe3782639","Success","Transfer","48745519","2025-04-28 05:41:58","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0.0056 BNB","$3.58","0.0000315"
"0x05913b2afc86b6d0f15a398b75cab547856b4df651023865d56f7155074fc368","Success","Transfer","48487698","2025-04-19 06:48:02","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x8b783095Fd65db1810Fb5001E383fC896cA50EcC","","0.01 BNB","$6.39","0.00004095"
