Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x7b12eaf1dddd612eaa8579c12220e075390919e617df2d260ae40d8bf5f7a272","Success","Batch Claim Token","64102536","2025-10-10 06:05:44","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x27473c6b4f65b00ce806aecf25d4265c910daf5fd735b6679d866e2d540ce609","Success","Batch Claim Token","64102451","2025-10-10 06:04:40","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x19fbb2265f0637d9fdd915aa4901fd7e7fb8f72f7dd9e6b181950710d3ff9567","Success","Batch Claim Token","60206643","2025-09-06 10:11:35","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xf70a1a4303b7b935c16878bc3f9431fa5f81630e9d6d186f95c141d32d75bdb6","Success","Batch Claim Token","53150642","2025-07-07 03:59:58","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x081bee6faf03bb38bb16171692221c3094388f6e5ac1661c0e639cb32cac035d","Success","Batch Claim Token","51256806","2025-06-11 08:08:18","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001741"
"0x6d8f46b93e53e42fca28d5d0ef59b2001ca684766a175a650bd958325013a2cc","Success","Transfer","49956033","2025-05-19 17:57:10","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00000327"
"0xb9168713a5b4a06209f3a4fb3779f8b077aad986f6cd61935e4ef4c36716781a","Success","Batch Claim Token","49234767","2025-05-07 05:20:33","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017424"
"0x51ea827fb1d2c4c257c7b9ce769a967c75f8623b316dccf3692132f829352fd7","Success","Transfer","48770078","2025-04-29 02:09:57","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0.0069 BNB","$4.41","0.00003465"
"0x3139c9414dce8ec4ad66cc4cbdb02a4b4dbb382e994e368874823dd38f95f166","Success","Transfer","48745522","2025-04-28 05:42:07","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0.0055 BNB","$3.52","0.0000756"
"0x21d87a6de3265b699ef25b9cfa50f16d9faf80d1aa765085112dd9473c395aa6","Success","Transfer","48487701","2025-04-19 06:48:11","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xB9878DDf22d4847b7B43F2c669b8FC294A486A65","","0.01 BNB","$6.40","0.0000315"
