Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Amount,Value_OUT(BNB),CurrentValue @ $637.173333693879/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x27f78e4303f750d656c8c4b02d667d280b5c1d37f437d5ef6befb3e58e06af19,48487720,1745045348,2025/4/19 6:49,0xf5988713400da6fc8a58ec9515e2b0df9b40b115,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,,0.01,0,6.371733337,0.00003465,0.022078056,591.6,,,Transfer
0x607f4a286f78f4d0ce76425d793211b96dd2615bdfc58ecd276aa9f05a7c1d76,48832921,1745992341,2025/4/30 5:52,0xf5988713400da6fc8a58ec9515e2b0df9b40b115,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,,0.0072,0,4.587648003,0.0000315,0.02007096,599.87,,,Transfer
0x0f4d0e89f435d60994b2e11a94074f8cf42838dfeb33f15f97de27e928ef12b3,49195248,1746535946,2025/5/6 12:52,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0,0,0,0.000145158,0.092490488,602.71,,,Batch Claim Token
0x1a7a00a5431d61645592dacb95b4487b44269082a4fb6d6d6c0a4d7261eeb399,49195270,1746535979,2025/5/6 12:52,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16,,0,0,0,8.75738E-05,0.055799658,602.71,,,Approve
0x6f668e3474cafaefe470cfca1d37e0bacf7125739380d838aaf05a2bd6227886,49195276,1746535988,2025/5/6 12:53,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,0xd1ca1f4dbb645710f5d5a9917aa984a47524f49a,,0,0,0,0.000546446,0.348180979,602.71,,,Swap
0xb5932c25c59ed2cfc68ebd5625325c412f4b0c2b10b44ac931aabc2349aebf8b,49195284,1746536000,2025/5/6 12:53,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,0xd1ca1f4dbb645710f5d5a9917aa984a47524f49a,,0,0,0,0.000448995,0.286087641,602.71,,,Swap
0x30944f7fd6fc01c89e77e56c0c33dd0f4015846b7467a3fa6c724412f410e485,49195315,1746536047,2025/5/6 12:54,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,0xd1ca1f4dbb645710f5d5a9917aa984a47524f49a,,0,0,0,0.000519408,0.330952608,602.71,,,Swap
0x072349d44ce1b14d07c7698e7a985ac8e6d40ffebb158299fec247cf169e799b,49195394,1746536165,2025/5/6 12:56,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,0x6a92aa863e5e43d2ddd03cf4fe69fb4866e12913,,0,41.4,26378.97601,0.00002625,0.0167258,602.71,,,Transfer
0x338f99e89292414dd1f1f29bd2c6cc861c59356ac1738695261039004a787a75,51256806,1749629298,2025/6/11 8:08,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0,0,0,1.48544E-05,0.009464796,667.63,,,Batch Claim Token
0x8e38084d0c49b803c1781791578a84530fe081de1453d05661f929020c0c61a3,51846948,1750514731,2025/6/21 14:05,0xe67bb1a9c2630d9258cf5b12c7ed744c14f56edb,0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16,,0,0,0,8.75738E-06,0.005579966,629.54,,,Approve
