Transaction Hash,Status,Type,Method,Block,DateTime (UTC),From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee
0x0affcee9dde4ed8f8fecfd9506c03c0879336454cf497910d0cfc48ebae08905,Success,Tx,Transfer,49762366,2025/5/16 9:15,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0xA123cd9eEBff8577446444924779128Cd76d8925, ,4.255183,"$2,729.26 ",BNB,0.00000231
0xaae181bbe876596574a2b2fa41d5ded4501a16729c2360b99b07c2c43988c18b,Success,Tx,Proxy Swap V2,49762354,2025/5/16 9:14,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0xb300000b72deaeb607a12d5f54773d1c19c7028d, Binance: DEX Router,0,$0.00 ,BNB,0.00002494
0x0d04c00f9a1e1b6b8bb458581c9138619951707e9bb4b4cbe0330986afca0ed5,Success,Tx,Approve,49762349,2025/5/16 9:14,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0x5dBde81fcE337FF4bcaaEe4Ca3466C00aeCaE274, ,0,$0.00 ,BNB,0.00000513
0x23b3ca0820facdbfa71a463e1516ae620b6a2bc3526e1dbec915dd160c13bee3,Success,Tx,Harvest Pool,49762339,2025/5/16 9:14,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0x1AcADa0083c19A45C1Dc5f3638b6dDDe693fA04f, ,0,$0.00 ,BNB,0.00000931
0x56c10d26dbe4ceb362e507208fe53d09f8a267e1c48e696713d3a6e95b370230,Success,Tx,Transfer,49759829,2025/5/16 8:11,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0x9143a91b84560f3A254c132465bf184e7Dbd7Db2, ,3.1,"$1,988.33 ",BNB,0.00000231
0xf0dc3c5ca57933fdae602d46efcd833dfe649e64caec475334f0c43c2ae5fb8e,Success,Tx,Transfer,49759817,2025/5/16 8:11,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0x5f7CaE92485D1cEEfE55FA5DEa8f17F37e259ee1, ,3.1,"$1,988.33 ",BNB,0.00000231
0xb216cd4a20d4aab6537cddee66acbf67fd3ff21aff8d7e016d791d2aaabdd0eb,Success,Tx,Transfer,49759454,2025/5/16 8:02,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0x788Ba5Bb176dcf3EF3F0cEe0363bfdB1CD7E4CB4, ,3.1,"$1,988.33 ",BNB,0.00000231
0xfe5e49b79b3908d9d45fba8d54fa335806f80a22f3c84b754fbffc3bb8a55eed,Success,Tx,Transfer,49759440,2025/5/16 8:02,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0xAa30156F156ff8FAa8aA9AeB11554E3f2e5a8f50, ,3.1,"$1,988.33 ",BNB,0.00000231
0x66d8c0358fdca8ac2c3f77b38a3f1ff8898f9c7808c11a2ba3531131e41c8e76,Success,Tx,Transfer,49759424,2025/5/16 8:01,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0xea22D7002a816B3ED3544D848C5F047A00fFCcE2, ,3.1,"$1,988.33 ",BNB,0.00000231
0xbd937890fe23990f58f638ff130ea5d5126853dadb50c0e24cc4b4040cac5009,Success,Tx,Transfer,49759120,2025/5/16 7:54,0xFD57E4ddED391cD2736E8a840A1666B6c4638f73, ,0xC7bC27384e5493aF9f1c4bc6F79A1FA17F880E45, ,3.1,"$1,988.33 ",BNB,0.00000231
