Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xc58053d546082dabf7113b1fb56eaf5d23e03c405ee963ff8de74ddd86801287","Success","Transfer","74102096","2026-01-05 02:07:30","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0xeCf2410953450d1A7bffBF90df0876369cd47EFf","","0.01527891 BNB","$13.62","0.00000111"
"0xf84fa41acda9ea220b636612e568efa0ef8ba8d3c7991f76b84ac952dbdde338","Success","Transfer","74102082","2026-01-05 02:07:20","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.0000024"
"0xa82d8803dc85f021cc9d30b9e198101a71cebb0998a4bb36ecac62c3286872d8","Success","Batch Claim Token","64588196","2025-10-14 11:17:28","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xb83c123438d4a9b34df20efba2dcc383115c5a4b7ba096126ac4b4e755b9827b","Success","Batch Claim Token","64588083","2025-10-14 11:16:03","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xc2c122e2c07bc2eb8e7d7cc0f1862cf3b4a2fd5f0331140dd3fc4b194a19b465","Success","Batch Claim Token","64587969","2025-10-14 11:14:38","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xb60490edb39b0d038f3e360321e55e01f201ed2d25dc74a39da91eb7d3d521ca","Success","Batch Claim Token","53504425","2025-07-10 05:42:30","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xa4eb6a9d075fd983409373dd02ff203147163056a98283f7ffa7771d0d0319e7","Success","Batch Claim Token","51257067","2025-06-11 08:14:50","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001742"
"0x33f3d8316bd649ea3afb51cadb84b95e8dfde46062e5575f105222d4b0df55ab","Success","Transfer","49204692","2025-05-06 16:48:38","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00004684"
"0x28127efd16be983c21cddb6208ff2093f8a1b668a84b681f578cfe4a4306b111","Success","Batch Claim Token","49204674","2025-05-06 16:48:11","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00011614"
"0xd812981df7748629f750cec21f1b5d98a24582999b1f1a27c1943ce573765b9e","Success","Transfer","48832958","2025-04-30 05:53:16","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0.0055 BNB","$4.90","0.0000315"
"0x3beba8ed64f24124545dd4c9d9712c78059d1a90f9200782180d51a38233a00e","Success","Transfer","48487738","2025-04-19 06:50:02","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x4a3113D2A45BF38F096C4189A15f47E363fa1B28","","0.01 BNB","$8.91","0.0000315"
