Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xeb9a87e7587c6288f3ade6ca0238a68bda524ed4a536eec761e109acfb35e92d","Success","Batch Claim Token","65529434","2025-10-22 15:44:25","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x21ffa1e6189677ca4eb00ebb1e85a2671a033252bb955f9de66a59b49a4357cd","Success","Batch Claim Token","65529350","2025-10-22 15:43:22","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x89f19c3ac3cad398202ff9d106ba744a1d653f7aac03684ca1abbe91453f3ac0","Success","Batch Claim Token","65529264","2025-10-22 15:42:18","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x5464c675b221160ae41fd9c0a64d3a97536ad4b02947ca86e5e0c9f9ce672f52","Success","Batch Claim Token","53505232","2025-07-10 05:52:36","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x896f3145dbda79738d63f840ff64d488beb8037f50e4fd9be6515c678ac6c4cd","Success","Batch Claim Token","51257389","2025-06-11 08:22:53","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001741"
"0x092f1da2c647ed93a04b105dbf6dd2f33db86f5f1b562bd947b2189ea992977f","Success","Transfer","49956756","2025-05-19 18:15:14","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00002974"
"0x68da30ab1f43387cca55d37342debc4911188d4a2a98665f319b695465cea08d","Success","Batch Claim Token","49235052","2025-05-07 05:27:40","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.0001742"
"0x052665d7f33e93adef2c9c0085c90e9de254d0eab26fd62e8af4b9c1a11d7916","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x0c2a35ad8bd40db6e42482c8a901c18b52488ee0b80fa7ab40692450f4542f18","Success","Transfer","48634482","2025-04-24 09:08:58","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0.01 BNB","$6.09","0.0000315"
"0x67ab9e6397ee775a789e96672daa5044e5d1946b0a7c80e904abfac750610266","Success","Transfer","48487896","2025-04-19 06:57:56","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x0823cFE6552b084AC7Ecd6dC498aFC4F03c9bD03","","0.01 BNB","$6.09","0.0000315"
