Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xaf50e0d2ca5f567fbabb0529bb54429602f035f6efc3be0d9a95ff225efd126e","Success","Batch Claim Token","64102524","2025-10-10 06:05:35","0x08244c5c05218949A9336245DdcA5F9459261275","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x3872b4c4fa4e510cbe664a369e0c5bc491f3d3049e2c41fbffa5e795ac3defec","Success","Batch Claim Token","64102440","2025-10-10 06:04:32","0x08244c5c05218949A9336245DdcA5F9459261275","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xac6f98e7ac7cbc098a73597d85ea40626b966ce1fa42eaa4960bf98e33dfd68b","Success","Batch Claim Token","60206629","2025-09-06 10:11:24","0x08244c5c05218949A9336245DdcA5F9459261275","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xc42fabde83875fded74bff7c23c36414183888fb7383f9be4d77ebc6ce36a620","Success","Batch Claim Token","53150642","2025-07-07 03:59:58","0x08244c5c05218949A9336245DdcA5F9459261275","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x3a07fd0eac871826e067cad9d2525740cc8457fbe6d9ac2e9dad5d40c92588f2","Success","Batch Claim Token","51256805","2025-06-11 08:08:17","0x08244c5c05218949A9336245DdcA5F9459261275","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001742"
"0xcaa2456be5fbd1c26063d3c3b4605962df8ad08ae3c21683ff977c96a83bbbc9","Success","Transfer","49955832","2025-05-19 17:52:08","0x08244c5c05218949A9336245DdcA5F9459261275","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.000006"
"0x51052a28be7f40bdb4530904af2e631c787f325ab67b129b08173008f612c77d","Success","Approve","49527903","2025-05-12 07:30:41","0x08244c5c05218949A9336245DdcA5F9459261275","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00002642"
"0x59fe65b48446e9482ea6c0907c5ed4a31e37e2cb451664c7908a444ae0572b4a","Success","Batch Claim Token","49234751","2025-05-07 05:20:09","0x08244c5c05218949A9336245DdcA5F9459261275","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017419"
"0x69f8feb022e5ae6b34ed79ad14aa98450c6289d7d4d3c1d9b329bfd8b50a837e","Success","Transfer","48770073","2025-04-29 02:09:42","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x08244c5c05218949A9336245DdcA5F9459261275","","0.0058 BNB","$3.71","0.0000378"
"0x22920aea18b39c2d71ab21b04ee48bdc05dd038ff85e55f8a1c840f1e6f2d1ed","Success","Transfer","48745522","2025-04-28 05:42:07","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x08244c5c05218949A9336245DdcA5F9459261275","","0.0085 BNB","$5.44","0.0000756"
"0xb5ae67b730718f7d59cb77bffaf623a9c1b148b459cc8a07443f7e9e16e2879a","Success","Transfer","48487701","2025-04-19 06:48:11","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x08244c5c05218949A9336245DdcA5F9459261275","","0.01 BNB","$6.40","0.0000315"
