Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xab2126c4125e1c76bfda7a337feedb795b077f8423afed64e52f58d508396bfc","Success","Batch Claim Token","65497204","2025-10-22 09:01:29","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xc15a9041dec4e5e7d958c7c3847dc2acc10ddfe9a3a83db7ccb764ea52b1d773","Success","Batch Claim Token","65497123","2025-10-22 09:00:28","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xd7c87c61e795c8fe9126d8c326194ea2bda864f58ce0387f85dffdd86d3275e2","Success","Batch Claim Token","65497041","2025-10-22 08:59:26","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x17bb22929fc1881dbd9266e2208aa5762a5649fc89bfad505347c8c0102d1658","Success","Batch Claim Token","53504696","2025-07-10 05:45:54","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x9ce7193a3a4cf04f2630fdde9d3680459eff3de9095d014b9ada621394344ccf","Success","Batch Claim Token","51257389","2025-06-11 08:22:53","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x3e07cccaf264296b71dc38bc482393e9cf994d744f9717e0c4b950834b8948ce","Success","Claim User Trading Fee","49228596","2025-05-07 02:46:14","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x818a445c3741c6e0bb82c1d2f473dba02fe176db45253736aaf52e2de0ec5aa3","Success","Batch Claim Token","49198181","2025-05-06 14:05:46","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017424"
"0x08bcde668f8155ea4915914007199f037f417323ff00a349fe1f1d24e47529b5","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x246fefef90fdcab8def63d60382ec3aeab5d4050f037752d3d1a0b6ca96f5c17","Success","Transfer","48634463","2025-04-24 09:08:01","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0.019 BNB","$11.58","0.0000315"
"0x2faac99658ae4abceab5f81b06dd9d3e0bc88df5761b20645d165b4dd841504c","Success","Transfer","48487886","2025-04-19 06:57:26","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x2a99929F67dd24E74d1DE44e3B81Af77a686aeea","","0.01 BNB","$6.09","0.00003465"
