Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xcde5296114d7308e2697bded03c1967e739df30be5016512ecd1126fdd7282d3","Success","Batch Claim Token","65497245","2025-10-22 09:01:59","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x1dc1b2533fb5db6d5404c747fabd394e58dd50450701897a2a7f01ccbc0fb869","Success","Batch Claim Token","65497164","2025-10-22 09:00:59","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xe2a0dd0b763fb954abb2d89d2c894b4460fa368868325cbc8cd3a8adcf9be42a","Success","Batch Claim Token","65497083","2025-10-22 08:59:58","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x427d59cd25db67cd41391218323db0681e260b360f2ffc72a2372173465e7f6d","Success","Batch Claim Token","53505232","2025-07-10 05:52:36","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x5398e66cf7b06510da274b0006586c5981b19649a1ca0ced22fb5be568deea9c","Success","Batch Claim Token","51257389","2025-06-11 08:22:53","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001741"
"0x44bc0e5a27c058504a6204ea37eafa7ed1562445ae73b55bf0a43e03077744f9","Success","Transfer","49956694","2025-05-19 18:13:41","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00000654"
"0x77bc8f78e35eda5a0646efe5044f21afdc1adc3961ef56a75b0964e4ea791e7c","Success","Batch Claim Token","49235053","2025-05-07 05:27:42","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017422"
"0x0229742c65ec0a792649c18f50725125387723590166cd5a0dc3cf1d8d99ada7","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x135f0985857415045f3e38aba73f25506798d5dd19906f5b5a5828a76ee7550d","Success","Transfer","48634475","2025-04-24 09:08:37","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0.02 BNB","$12.19","0.0000315"
"0x994c87f7e11c283b1c9b59ce008fd135004d0db4ee902c3a196aec7cc95eba6e","Success","Transfer","48487890","2025-04-19 06:57:38","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x2c41911Ab3CF0ce1142222c5BDFCF2014f9CcFBD","","0.01 BNB","$6.09","0.0000315"
