Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x94affabd1b37c112ab2972081754d8ebce7ddbe27b26422cb8a126af87e89e4f","Success","Batch Claim Token","65497235","2025-10-22 09:01:52","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xa419d95f50dfe77239db34c49a62c7b81005e5b04ad25e6a391e075448e637ef","Success","Batch Claim Token","65497153","2025-10-22 09:00:50","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x791b4591d14e6c0d1e3056d69efab49a7c18b21d2591c5b61b4295b0d0770089","Success","Batch Claim Token","65497072","2025-10-22 08:59:50","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xb738fd2b6ad636b71a0b7a6aea9006f024342fc32cce8461af2436f679d605da","Success","Batch Claim Token","53505234","2025-07-10 05:52:37","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xbe3570c68bfcdcba8b65c025caf13e47c1800422204a6698772ad17954317ffc","Success","Batch Claim Token","51257389","2025-06-11 08:22:53","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001742"
"0x0b4dfe4aa34813470653a1186bc7f7bb44e182176a2bc29dc57fceb6e70cf360","Success","Transfer","49954852","2025-05-19 17:27:37","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00000654"
"0x5adaecf21106cad37cc6d0e93ad6b912821bcc2733793d2f5581013809060f05","Success","Batch Claim Token","49235052","2025-05-07 05:27:40","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017424"
"0x5ce1d037ad7039065b381ed02898cc62c76233370c73098f0887bdcf95402cc3","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x0cc9e59487f6be63639025b567df113567a9f55540f383b29d1e9dca4f3a8b9a","Success","Transfer","48634475","2025-04-24 09:08:37","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0.01 BNB","$6.09","0.0000315"
"0x1e78c134bdea2d6594d99832b6de9f39d6cf28c43f363b19ca6403ee3edad8ec","Success","Transfer","48487890","2025-04-19 06:57:38","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x41E6Cb18da37a068e34033C88d8682B8121D07BA","","0.01 BNB","$6.09","0.0000315"
