Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
0xbcc625af2890bbc0da502a0ec05502b535ecfe253636b8a5d7c0c6a718893423,Success,0x11206273,24739941,2026/3/26 6:27,0x3e391E5Cb8EA766C93134Faf486E6393158032c2,,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,1,$0.00 ,<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: Bra...ear
0xb3e48539d20f2ee0bcb0dc336e63a147cfba45b9829d748475d6932ac2701f01,Success,Claim,24583957,2026/3/4 12:00,0x974b08E3CA65406451cB5867C032eB276fCf90b4,,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,11.49304036,$0.00 ,<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: Blo...eet
0xf3fa9f672dfe899f76c541fccdc3216606760db0ff59ae81d3e7d0d1075f2c8d,Success,Transfer And Multicall,24067224,2025/12/22 9:22,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,0xb92fe925DC43a0ECdE6c8b1a2709c170Ec4fFf4f,,775.1075426,$2.52 ,Rayls (RLS)
0xaf26b51d3a1cad895c60c9c76fbfd5392d01f5a270667090bdecd061bd2ad4a2,Success,Transfer And Multicall,24054244,2025/12/20 13:55,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,0xb92fe925DC43a0ECdE6c8b1a2709c170Ec4fFf4f,,70.96989124,$4.74 ,Newton (NEWT)
0x3fd8cb4ec5714a3954d620158eb75671659135a487edbb7a9247caa0871d29fe,Success,Transfer,24052355,2025/12/20 7:35,0x354383D6BA8a04034eA97FFd38fBe80Bfb93bcA2,,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,70.96989124,$4.74 ,Newton (NEWT)
0x3d371fff9f6e29fd9e02360d62d0a92a0d39282dda478b81f0c9ed04ad6cb46e,Success,Delegate Claim,24047171,2025/12/19 14:14,0xEA9F5CC526Ad14cF34D6055fb16a43D3Cd293712,,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,2,$0.14 ,zkPass (ZKP)
0xa1670af1908db5a846b1af2cfd98f77d11265f025dc1706c759d2b9e4703436f,Success,Claim,23919475,2025/12/1 15:18,0x5b9089a93dd0f48Fd74Ab80d6b9DcCfaC64d9989,,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,775.1075426,$2.52 ,Rayls (RLS)
0x5db537709a831b94b8809d782722be82f96625f705e005e51139b2a9f93da6d6,Success,Execute,23875685,2025/11/25 12:02,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,0x000000000004444c5dc75cB358380D2e3dE08A90,Uniswap V4: Pool Manager,"11,420",$214.53 ,Irys (IRYS)
0xb9bd41564472aafa7fd31929b900de38809def149fda67890899eae2710fc49f,Success,Claim,23875675,2025/11/25 12:00,0xE424D87945E7adcA4E12B4D9Ee11e67DAC85734c,,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,"11,420",$214.53 ,Irys (IRYS)
0x3d50d4ce4806629b2283dd68c2b9af7f7fa8730bc3067c1e283aa521591d3af3,Success,0x8132b321,23752270,2025/11/8 4:51,0xC3b7D4ada2Af58E6dc7b4fb303A0de47Ade894C9,,0x777eB8A2e6efE8b10d26A361F91a50d3110aB1bb,cryptozefir.eth,0.26,$0.02 ,Staked ENA (sENA)
