Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
0x7df30da9fd34dac4e8e26c530b26c089f7a014c7f27efed190990667b475285c,Success,Transfer,74099983,2026/1/5 1:41,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x4fea663009f0382cb624210175563e634436e309,,0.069831755 BNB,$44.66 ,0.00000123
0x3621a947f8c1d4300f43feceb5a7abb9dc56525b7dd621fa24715d50aee1e4b8,Success,Transfer,74099946,2026/1/5 1:40,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x4fea663009f0382cb624210175563e634436e309,,0 BNB,$0.00 ,0.00000105
0x5f0ed2eec0edf2a0f02224585beda1594defe55877e983914e211224fbea630d,Success,Transfer,74099931,2026/1/5 1:40,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16,MYX Finance: MYX Token,0 BNB,$0.00 ,0.00000252
0xe1fd26d03591b0e0a1ba815d2fc1e75586438edfc7ac5f3b6155b8e3e1d3ab3f,Success,Batch Claim Token,64807838,2025/10/16 9:03,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0 BNB,$0.00 ,0.00000742
0xf98f03cf3646bb8a0aaa5960cf0a2fe120f54ac0892d041bd534a27b8cea3c74,Success,Batch Claim Token,64807735,2025/10/16 9:02,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0 BNB,$0.00 ,0.00000742
0xe01ade79ccbe8645cd76acc28b38e27098b2c595f07deda463ff8b6005d5b0b1,Success,Batch Claim Token,64807642,2025/10/16 9:00,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0 BNB,$0.00 ,0.00000742
0x153a9219b60ba6aa96609fba75319d4a253e93a8bd7ea475ac6ad037832af400,Success,Batch Claim Token,53504515,2025/7/10 5:43,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0 BNB,$0.00 ,0.00001485
0xd4310eacc7557dca8b1606519572f8838647a62ad46374190f340ddc0d1cc4ff,Success,Transfer,53292251,2025/7/8 9:30,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0xf22f153b8c39139bec3ca1e6858bf8af24a3afbb,,188.7 BNB,"$120,668.37 ",0.00000262
0x6c3c616fa613bb6cc1e8d595761e83eb6f56f65d6797b68221062d550691f531,Success,Swap,53291896,2025/7/8 9:25,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,Bitget: Swap 3,0 BNB,$0.00 ,0.00004733
0xbd320c2ffded4d9952dc5a5d88286538d2475cfc903465401d83fc5ea57069a9,Success,Swap,53291835,2025/7/8 9:24,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,Bitget: Swap 3,0 BNB,$0.00 ,0.00005419
0x9e896053430a1a63897bc331673f1661793286ce04a6ce8c5c71548d206656fc,Success,Swap,53291696,2025/7/8 9:23,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,Bitget: Swap 3,0 BNB,$0.00 ,0.0000421
0xab823c30898143edbcbcf087b746aa8557eddf6e069c11547b46cf5aede0ab0a,Success,Swap,53291687,2025/7/8 9:23,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,Bitget: Swap 3,0 BNB,$0.00 ,0.00004392
0x335546d29cea08dc67c91ef2a4437425f261ac26b2e024bfc1b0a1b802a02d11,Success,Swap,53291676,2025/7/8 9:23,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,Bitget: Swap 3,0 BNB,$0.00 ,0.00004392
0x6303497410530a332ce52a9884973b6441eb4d5ca14104ea2f594191bbba1881,Success,Transfer,53286323,2025/7/8 8:16,0x7789b11f6f9448bcccb7cece667fdafeeeb7e051,,0x0c6b06c8023289363a13714b856b56248dc692d4,,144.2 BNB,"$92,211.87 ",0.00000262
