Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x6bb09013c4cc1abc9795c7277227d75523f19550510c3984cc0836abc37602f5","Success","Batch Claim Token","65529424","2025-10-22 15:44:18","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xb96063c00e6d8603a6af6aab224b484c539d6364a6ec398e154a4e0c76b23a00","Success","Batch Claim Token","65529339","2025-10-22 15:43:14","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xaa1facb1be1b52794c9fe6b3732abb9de8861f2976a6ee489d617da3e2337159","Success","Batch Claim Token","65529254","2025-10-22 15:42:10","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xbd606f9c5665f838fa5623f50999d5f548839ac86cbcd7a6391111a09bd1350f","Success","Batch Claim Token","53505233","2025-07-10 05:52:36","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xcbfa6e905be556eea1d079bf580cfb0d556c7da1ce8f0a251107d80f236d772f","Success","Batch Claim Token","51257390","2025-06-11 08:22:54","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001741"
"0x4662cc0147ebfe835ffc53feb55704a6864c4ef50dae9480feefe3e92dddd770","Success","Transfer","49956618","2025-05-19 18:11:47","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00000946"
"0x1c7416c4922c3b311448e7294a9afc88278088dec0cc9d9b6d404637ff077e8e","Success","Batch Claim Token","49235052","2025-05-07 05:27:40","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017422"
"0x96c5ba3b5d5fc66accfbf4fb13fefc692035c26fff42320289cf4860964b9eba","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x58f150aef0159ece955e578f73056d17b7f94f2b0b9052d0d2bf4b481ec4c882","Success","Transfer","48634478","2025-04-24 09:08:46","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0.013 BNB","$7.92","0.00003465"
"0xa2c2b4021d0aea6b91591d28760c11f3d31004d3425d353876f8e6907895b63a","Success","Transfer","48487893","2025-04-19 06:57:47","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x99E460Bc1f77a0D039559f3E0D509Ac6B4E297d5","","0.01 BNB","$6.09","0.00003465"
