Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x71ac648724aae4bf7cc0ba3de75adfd1254bb2f673b298943dd1432d3d3dfc0c","Success","Batch Claim Token","65497214","2025-10-22 09:01:36","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x6ef1b25c090a81dc1bdb18ba89b0a77f846abc313bed950a6ee1fbb8f045a824","Success","Batch Claim Token","65497133","2025-10-22 09:00:35","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x9d651a33906e42944c8f045b39a7db011663babf6c5c454e882331fd588b7b01","Success","Batch Claim Token","65497051","2025-10-22 08:59:34","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x18c90becd3e4eff38cb7ed4a3d8323e8ed37e56e82d76ef43987f26f420bf1fb","Success","Batch Claim Token","53505234","2025-07-10 05:52:37","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x9afb747bb2938f60ad731446023224a6477f63cb77401e3fa54de5dec128d2f2","Success","Batch Claim Token","51257389","2025-06-11 08:22:53","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001742"
"0xf410543e0eaee3567a01c383ad9fb7a6723e71642b702875b8c01117fe692ee1","Success","Transfer","49598647","2025-05-13 12:59:24","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00004684"
"0x878d92f21d08f173ec5a35bbb717e6ebad78dedd632f55229d4a0856265db973","Success","Claim User Trading Fee","49228596","2025-05-07 02:46:14","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0xa701f8d960a548bdd19b0ce7c715b9893501d47fbbb5bd3a5ef3a7ea0204953a","Success","Batch Claim Token","49198181","2025-05-06 14:05:46","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017422"
"0xbd900c88b4e98e3664f7302110d79c3f71d6145d6f5f8cfc4158db306013e1de","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x56508833f5aa36dcb628087f1fca6f77a7d583b729f2c9f2d83eaad25e2c1289","Success","Transfer","48634467","2025-04-24 09:08:13","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0.012 BNB","$7.31","0.00003181"
"0xd44c0fbeaf85a4503c87908fb2863b7e0dad5ac05c561e0eb767c79e878b009a","Success","Transfer","48487890","2025-04-19 06:57:38","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xB0eBf1666D0AB835Dce2c7b8a199B95aC02be89e","","0.01 BNB","$6.10","0.0000315"
