Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
0x4f563867c455b86f4a1dc9398854d247b754b43fd136392a9ccc9ef20df9625e,Success,Harvest Pool,66312972,2025/10/29 11:00,0x3b1ff4d03190021365ab5cabda1230f922f99ddf,,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,255.46728,$133.41 ,Pieverse Token(PIEVERSE)
0x323ebf2395e1f24be20c39ec8f0175d0cbb4b4d2e3379e21ecf5f223f6e9d1a6,Success,0x8c250750,66069485,2025/10/27 8:15,0x6ad7b553d3622c7d1ccfe702e5a8bc7e22d9f848,,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,"1,000",$0.00 ,ERC20 ***
0xfa5f1c30eb868aa86d6b0619f00c9703c3011af8920cfeeb8c9f588eb4b50a5e,Success,0x810c705b,66069314,2025/10/27 8:13,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,0xb300000b72deaeb607a12d5f54773d1c19c7028d,Binance: DEX Router,48.938,$0.00 ,BEP-20: ZEROBASE(ZBT)
0x2f9303360e93f7777c1ef4ba543b57c3383ea26403a87c7c6054e24296fd6f79,Success,Batch Transfer ERC20,66069272,2025/10/27 8:13,0x7fcbd9d429932a11884cb5ce9c61055b369f56f7,,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,48.938,$0.00 ,BEP-20: ZEROBASE(ZBT)
0xf5b5863dd34683c99b2e8974396591792fecdf8342ea030f6c911e03365da6a0,Success,Airdrop,65692418,2025/10/24 1:42,0x0acc89fcccdf14f2e729ddc2771e1c4101889991,,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,2,$0.00 ,BEP-20: 币安狗(币安狗)
0x9ed06b4eb2b8c690c5493e21fb356225fa41786e98c27a0d15194f9e9454112a,Success,Transfer,65692283,2025/10/24 1:40,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,0x6d9fb3bc28a398a6d30648fd8ae22993e9722ec3,,0,$0.00 ,Binance-Peg BSC-USD(BSC-USD)
0x1f5614f028e62b87aca5e07350a217e274d00f50b69a49dc9c8da80550206ef7,Success,Transfer,65692206,2025/10/24 1:39,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,0x6d9fd03bb89c9edd01ab303445a5d00086632ec3,,0,$0.00 ,Binance-Peg BSC-USD(BSC-USD)
0x80b751a852853bfca23fc14bcf8d7692f461603f24d7ec45d1fc0bed44d1b287,Success,Transfer,65690925,2025/10/24 1:23,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,0x6d9fb3bc28a398a6d30648fd8ae22993e9722ec3,,0,$0.00 ,Binance-Peg BSC-USD(BSC-USD)
0xd9e25d4405138787efa8cb04bbf97022c68b9bdf03be589ee3c8c3aedd95ea42,Success,Transfer,65690878,2025/10/24 1:22,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,0x67f57c249125574ba9643a47813c962611502ec3,,"3,012.91",$0.00 ,BEP-20: U5DT(U5DT)
0x6487081d5372dd6735cd58c5d79421921d3e274b24589dd7b100f3ec2d246525,Success,Transfer,65690878,2025/10/24 1:22,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,0x67f57c249125574ba9643a47813c962611502ec3,,0,$0.00 ,Binance-Peg BSC-USD(BSC-USD)
0xab6d294aab04b846a74a84ab7e89efc2f9552760f579e3586546f8599f612202,Success,Transfer,65690851,2025/10/24 1:22,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,0x6d9fb929b016dd0daa0730dda4a2cc1ecf502ec3,,"3,012.91","$3,010.05 ",Binance-Peg BSC-USD(BSC-USD)
0x35030e203afccdac3fcc8b57f40eead7d85e49bb9b714bc67a14023832c0e64a,Success,Claim_41202704,65690183,2025/10/24 1:14,0xe2c7925b1173013a59b8573daa3eda6c613ded45,,0xb331eb6a824a0db3fe32ab7a5392c786c9ff4921,,"3,012.91","$3,010.05 ",Binance-Peg BSC-USD(BSC-USD)
