Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xbc331ed3e97abc79cb00655b38ed59d6169c69a5b0ed9ca316dacdf42103b674","Success","Batch Claim Token","64102569","2025-10-10 06:06:09","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x6828fd8fae8b446ddef14929a7fd8751655946bf23462c7e67a5cd3e7d50d3cb","Success","Batch Claim Token","64102484","2025-10-10 06:05:05","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x89726c58e46b2d580a80389566a60a4483a71ef49ef2c418b10479b1449111a4","Success","Batch Claim Token","60402071","2025-09-08 02:54:50","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x3d5cacab7a886574eb1fea4c9d05e8fe9e8c51f6d36a8c973f03772cde15279d","Success","Batch Claim Token","53150642","2025-07-07 03:59:58","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x1404450ec587f655c6bb22f09476edbf5fc5823adcd133d39f0269af906a9dca","Success","Batch Claim Token","51256806","2025-06-11 08:08:18","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001741"
"0x00e89a332e891e5a5d3a6cec0f40f4a9e54a198be130a24c9b6b383c9e991d93","Success","Transfer","49955973","2025-05-19 17:55:40","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00002973"
"0x20a77586cec54fb7f86c03b870f2199f64fb2a9115c48fa22457500ef5fa5728","Success","Batch Claim Token","49234767","2025-05-07 05:20:33","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017424"
"0xf2bd081b36ffcd2517e857353b7dc0b187f40de413ab1853bac968748f3cd694","Success","Transfer","48770081","2025-04-29 02:10:06","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0.0072 BNB","$4.60","0.0000315"
"0xebbb4c515655d2fccd8a8d38217e8658aacaeb18c965700595ac43cb17cd287a","Success","Transfer","48745525","2025-04-28 05:42:16","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0.008 BNB","$5.11","0.0000315"
"0x2fa9befe3f3ffd6a9def7bbf4cd7436548901e040e430deee5fc96300d31ca0c","Success","Transfer","48487701","2025-04-19 06:48:11","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xbED011958aF97b95Ae5A2283C3aAa283A80D6715","","0.01 BNB","$6.39","0.0000315"
