Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x315af5ddd64624873cf0f8190c22b2e08356c6e91908f8cfb66b64bb604c175e","Success","Batch Claim Token","65529456","2025-10-22 15:44:42","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xe890707f7fd4633e22a0a2c57f3559ee7713bcaa55fd8a6608f9c913ce29e3e2","Success","Batch Claim Token","65529372","2025-10-22 15:43:39","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xd080e26b81db49d8c3cbe543082c29cc3d348627008cda3c16763aa8d6dfe111","Success","Batch Claim Token","65529285","2025-10-22 15:42:33","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x74f537db028904602e3ba09c5fd0fe88941a3c1f43a1f23575b7be1efb0e8588","Success","Batch Claim Token","53505234","2025-07-10 05:52:37","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xd428333bbe5eccd5d4b2df77ef23fcd75065d60135f858f6abd8e22795f7ea7e","Success","Batch Claim Token","51257406","2025-06-11 08:23:18","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001742"
"0xbaf38df141493c45b361913c4707b5ad69d6f746cae3d0e7e05673bf28ae6752","Success","Transfer","49956636","2025-05-19 18:12:14","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00003272"
"0x0fe0c840ae5489fd0885a0078d6e87f132c9cb2b1f7ad611ab46b6aff9b4c853","Success","Batch Claim Token","49235052","2025-05-07 05:27:40","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017426"
"0x4673d132aa82d58d779c0daae4419adaa03e48e23710f16612b9af2feff35b5b","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x9145beef87a5a97631d5b028c1c11a91fd0fa417f4db126680e70f1594d244fe","Success","Transfer","48634485","2025-04-24 09:09:07","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0.017 BNB","$10.36","0.0000315"
"0x2629cb198ca227ca335abd67c95fa160d558a2133a5d3035b61543134c4eec7d","Success","Transfer","48487900","2025-04-19 06:58:08","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xd5296D8E26dE397dfe77edA956183688Fc564309","","0.01 BNB","$6.09","0.0000315"
