Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x16f7daac1f8ea61a7e68ff2ba6b8ec32e031b54e082cbb58c41258a0ca1db947","Success","Batch Claim Token","65497225","2025-10-22 09:01:44","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x102f5d198c47a1c088eba6bc0527962e501fa4f44424bcc4ddf7cb90094cdcd1","Success","Batch Claim Token","65497143","2025-10-22 09:00:43","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x80b52c9cc5f9932ae4983259673d9c2dedcf1b2cabfb3022acbed8ba46f1fdb2","Success","Batch Claim Token","65497062","2025-10-22 08:59:42","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x08213e273402924fb702d3703d29bde2f81b87ef8712adb5011da0a91c786edc","Success","Batch Claim Token","53505233","2025-07-10 05:52:36","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x43bd551e381075b24a5100d989aee29f26e8c9a43a07c1fe4b326bd5e50cdc77","Success","Batch Claim Token","51257389","2025-06-11 08:22:53","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001742"
"0xdddc9446bcd3f13179247a5fb16cb779fff41c5ea9edc266da505042afa6c243","Success","Transfer","49956672","2025-05-19 18:13:08","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00000946"
"0xeba8d329d6a8c830f4d57df1d2dfcbab7ec389ad3a5bde340206ca4b611fb693","Success","Batch Claim Token","49235052","2025-05-07 05:27:40","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017416"
"0xd358b90bd47638c3369483a8e3de959255c8acaefe692e5e67e7505011940dc6","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0xd4d8c1f800bed6c898d4c918ef1f476e79d5682ff5c4063ab419762eb06ceee3","Success","Transfer","48634470","2025-04-24 09:08:22","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0.014 BNB","$8.53","0.0000315"
"0xf8be29e56980f7bbbd1b6951649fd5a431f212176f41293b91640cceab0b6dc8","Success","Transfer","48487890","2025-04-19 06:57:38","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xdeca3900AC41C49993D6Ab32cFf6Bd1D892759B5","","0.01 BNB","$6.10","0.0000315"
