Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
0xeb2ac01a90949581b6f139f8969436f143a5bf055b3a623063f095db9253bf4c,Success,Smart Swap To,23919383,2025/12/1 14:59,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xbb2cd025c6f81142f2c5300960865344f9eab831,,366.855,$366.51 ,Tether USD(USDT)
0xeb2ac01a90949581b6f139f8969436f143a5bf055b3a623063f095db9253bf4c,Success,Smart Swap To,23919383,2025/12/1 14:59,0x000000000004444c5dc75cb358380d2e3de08a90,Uniswap V4: Pool Manager,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"35,553.79",$115.65 ,Rayls(RLS)
0xeb2ac01a90949581b6f139f8969436f143a5bf055b3a623063f095db9253bf4c,Success,Smart Swap To,23919383,2025/12/1 14:59,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x6747bcaf9bd5a5f0758cbe08903490e45ddfacb5,,624.645,$624.05 ,Tether USD(USDT)
0xeb2ac01a90949581b6f139f8969436f143a5bf055b3a623063f095db9253bf4c,Success,Smart Swap To,23919383,2025/12/1 14:59,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x331a996f9454af36d24bbf5c9d94588483b39522,,3.4,$3.40 ,Tether USD(USDT)
0xeb2ac01a90949581b6f139f8969436f143a5bf055b3a623063f095db9253bf4c,Success,Smart Swap To,23919383,2025/12/1 14:59,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x6ea08ca8f313d860808ef7431fc72c6fbcf4a72d,,5.1,$5.10 ,Tether USD(USDT)
0x6a3b11e7e52dcab5329f7caf2eb1b747af41b489682d90826a9546a0cae8cf97,Success,Send,23919368,2025/12/1 14:56,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x3ea6bac7d4138bcc126d0f17ae10122b3620aba6,,"53,587",$174.30 ,Rayls(RLS)
0xbe9382e7a582b189b9ba378ebb34cd71ce5093cb0759202145c773436bc389c8,Success,Swap,23919365,2025/12/1 14:56,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"53,587.99",$174.31 ,Rayls(RLS)
0xbe9382e7a582b189b9ba378ebb34cd71ce5093cb0759202145c773436bc389c8,Success,Swap,23919365,2025/12/1 14:56,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,"1,000",$999.05 ,Tether USD(USDT)
0xcab50ceaf4ab596e02a29100d1b237cb1ab9f3e93d159342968ebfd00371ecb6,Success,Transfer,23919343,2025/12/1 14:51,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"5,000","$4,995.26 ",Tether USD(USDT)
0xe22cb49f84d10c6770e71a9c602b3343183c4652fb33f485c6f17032f25b2cea,Success,Transfer,23918600,2025/12/1 12:22,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xbd568ab063b7bf8072d44e760959edac79696e30,Binance Dep: 0xBd568ab063B7BF8072D44E760959EDaC79696E30,"3,475","$3,471.70 ",Tether USD(USDT)
0xff55a3d6b227a4e80e2088ba98ef27aa66533c653fe637a224d05121f0197121,Success,Transfer,23918527,2025/12/1 12:07,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x91d7ed8aeec1118a399f661f987dc09e7881677d,,271.4386158,$0.88 ,Rayls(RLS)
0x04a9fc977baad320692a259a15366869a06fca5ca91a287d59fabcf1688e7715,Success,Swap,23918524,2025/12/1 12:07,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,271.4386158,$0.88 ,Rayls(RLS)
0x04a9fc977baad320692a259a15366869a06fca5ca91a287d59fabcf1688e7715,Success,Swap,23918524,2025/12/1 12:07,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,10,$9.99 ,Tether USD(USDT)
0x38ccfdb08afd367fb5568f2abbddbcccd3b084f33738ddb009f8937fd84ee9d5,Success,Transfer,23918467,2025/12/1 11:55,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x74d1d2a2a98861ff906250327c4462e8e2e4aad6,Gate Dep: 0x74d1d2a2a98861ff906250327c4462e8e2e4aad6,172.642732,$0.56 ,Rayls(RLS)
