Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x2245c7bac6e71078c37578c183aa921bb3c9bcc8f8f45967a3d6fe661e57fb39","Success","Batch Claim Token","65529446","2025-10-22 15:44:34","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x02f58c0c5a8d2af3dc8343a7838d6166e616a31dbca4c76acac5eaae7ca65a6b","Success","Batch Claim Token","65529361","2025-10-22 15:43:30","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x7f97090312af5e67ab89d838868c3fe992ad6d6915648a6f51cc0ce87a5ce685","Success","Batch Claim Token","65529275","2025-10-22 15:42:26","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x2d1791438b7af3c01b81ebd076146a40337a605cbe6487d3bb314697b7a80a11","Success","Batch Claim Token","53505234","2025-07-10 05:52:37","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xbec65be85ab8a11143ed11413d57d1afc23c0ad8294c0f59f29d0bbb5d64608a","Success","Batch Claim Token","51257405","2025-06-11 08:23:17","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001742"
"0x36c1426ac6cc99f8e0f182a850d094f971af93f6c81ef9f9f4b3567c427f1524","Success","Transfer","49954783","2025-05-19 17:25:54","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.00004684"
"0x8519604e4c1413488fd770cd1aeb40fbf4a6ce1dbf373b35cda6107ab6268077","Success","Batch Claim Token","49235052","2025-05-07 05:27:40","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017426"
"0x3baf63b758acc60d5f70656665a99767909012308336b9928a68d4377b1f33e4","Success","Claim User Trading Fee","48655191","2025-04-25 02:24:43","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0x459F76E2Ee136043FabEea0878007d06582235AA","","0 BNB","$0.00","0.00003521"
"0x414329f5d9af4b9b59f224a0271a67155d062a7fb5ad82aa8aeb014c60f85d4a","Success","Transfer","48634482","2025-04-24 09:08:58","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0.011 BNB","$6.70","0.0000315"
"0xf76d3a8e1b4a1fd7ec3036b58ecc313ed9ec394bb8c38ce8dd3658cc594aea57","Success","Transfer","48487896","2025-04-19 06:57:56","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0xFc0C8845Eed0164950f8020589d8eaE197618A39","","0.01 BNB","$6.09","0.0000315"
